id,nome,cpf,email,telefone,endereco,data_nascimento,profissao,salario,estado_civil
1,Dante Moura,719.652.384-91,zalmeida@example.net,(041) 8171 2307,"Recanto André Leão, 21, Vila Barragem Santa Lúcia, 69801390 Barbosa / MG",1951-11-13,Engenheiro elétrico,7113.0,Viúvo(a)
2,Theo Almeida,671.498.305-01,ester33@example.com,+55 21 0557 2451,"Jardim de Abreu, 21, Vila Santa Rosa, 66755-539 Santos / AC",1936-03-12,Fisioterapeuta,4471.5,Solteiro(a)
3,Igor Mendes,289.034.517-32,alexandremarques@example.com,41 6631 3775,"Recanto Nathan Pacheco, 56, Nova Suíça, 46003-597 Cardoso do Oeste / RN",2005-03-15,Clarinetista,8926.5,Casado(a)
4,Mirella Novaes,920.437.581-79,brunapinto@example.org,0800 050 2215,"Viaduto Viana, 92, Barroca, 02204-295 Santos / PB",2002-12-16,Classificador contábil,12631.5,Viúvo(a)
5,Isabelly Ribeiro,215.437.069-16,paraujo@example.com,+55 (011) 4745-9850,"Morro de Nunes, 15, Dom Bosco, 17061805 Azevedo da Mata / PI",1981-01-19,Marketeiro,1980.0,Solteiro(a)
6,Ágatha Jesus,194.738.650-66,asafebrito@example.com,(071) 5768-0629,"Lago Joaquim Cardoso, 7, Jardim Vitoria, 76094859 Novaes / PE",1968-10-04,Urbanista,3577.5,Viúvo(a)
7,Alexia Jesus,592.713.048-88,xmoreira@example.com,(021) 8139-2073,"Estação Henry Albuquerque, 11, Barão Homem De Melo 2ª Seção, 92588369 Casa Grande do Galho / PA",1982-07-25,Ortoptista,9987.0,Divorciado(a)
8,Emanuel Siqueira,604.983.517-93,bda-mata@example.com,+55 (041) 4291 7379,"Passarela Santos, 57, Canaa, 44477-681 Abreu / AM",1996-12-22,Consultor de radiestesia,5512.5,Solteiro(a)
9,Sra. Fernanda Jesus,901.285.376-12,barrosalexandre@example.org,+55 41 2842-6765,"Sítio Lucas Mendonça, 679, Beira Linha, 74377-736 Rios do Amparo / ES",1977-01-20,Plastimodelista,12472.5,Solteiro(a)
10,Ana Laura da Luz,914.586.237-00,jda-mata@example.org,(051) 2985 5319,"Condomínio de Cavalcanti, 51, Concórdia, 19644-438 Araújo da Mata / AC",2007-05-24,Papiloscopista,2653.5,Solteiro(a)
11,Isabela das Neves,247.693.058-00,marinamoraes@example.org,+55 81 5165-9740,"Rua de Fonseca, 619, Boa União 1ª Seção, 43760-740 Pires Grande / PE",1941-05-19,Médico legista,7579.5,Viúvo(a)
12,Ian Ribeiro,526.807.193-95,mariah12@example.net,0900-297-0294,"Rua Maria Flor Machado, 84, Vila Jardim Leblon, 83821806 Barros / CE",1990-04-15,Microfonista,10654.5,Viúvo(a)
13,Stella Costa,982.364.107-22,gael-henrique23@example.org,61 3991-5569,"Rodovia de Andrade, 84, São Jorge 2ª Seção, 77440-724 Siqueira de Carvalho / AL",1943-11-19,Meredeira,3160.5,Casado(a)
14,Dra. Luiza Pinto,132.457.069-52,vicente52@example.com,+55 31 8235-0696,"Trevo de Cardoso, 93, Engenho Nogueira, 85820460 Vargas do Oeste / MA",1981-06-09,Personal stylist,6715.5,Casado(a)
15,Juan Albuquerque,792.384.561-19,leticia59@example.net,+55 (061) 3425-6656,"Condomínio Fernando Barros, 87, Chácara Leonina, 52160385 Pastor de Borges / RS",1959-04-28,Dublador,2700.0,Viúvo(a)
16,Valentina Teixeira,651.490.238-33,igorsilva@example.net,+55 (084) 5111 1188,"Viaduto de Siqueira, Conjunto Providencia, 58278355 Albuquerque da Serra / RN",1953-08-12,Operador de vídeo,13704.0,Casado(a)
17,Luara Nunes,728.416.350-07,enzo-gabriel74@example.org,11 9557 1261,"Travessa Carvalho, 469, Jonas Veiga, 86869610 Silveira / RS",1983-10-15,Enólogo,13249.5,Solteiro(a)
18,Lavínia Aragão,531.287.469-82,hellenaferreira@example.org,0300 813 4412,"Recanto Borges, 4, Vila Copacabana, 46043-266 Martins de Moraes / SC",1936-07-19,Promotor público/de justiça,4722.0,Solteiro(a)
19,Sra. Ester Gomes,087.349.652-38,ccamargo@example.com,+55 84 9652 4668,"Favela Joana Silveira, 3, Vila Oeste, 70363-791 Sales / BA",1978-10-07,Lancheiro,12783.0,Solteiro(a)
20,Evelyn Rios,372.695.481-37,yasmin64@example.net,61 5574 2405,"Favela Duarte, 821, Novo Das Industrias, 63897-699 Monteiro Alegre / AL",1965-03-05,Físico nuclear,5032.5,Divorciado(a)
21,Sr. Ian Montenegro,985.301.746-66,ribeirojose-miguel@example.org,+55 (041) 0325-7091,"Residencial Oliver Fernandes, 927, Solimoes, 31691-899 da Cunha / PA",2003-12-12,Ascensorista,14439.0,Viúvo(a)
22,Rafael Souza,672.819.534-37,meloalexandre@example.org,+55 (051) 0575-1489,"Alameda Bruno Sales, Mangueiras, 18060-729 da Conceição Grande / RR",1976-10-14,Cenógrafo,8461.5,Viúvo(a)
23,Emilly Silva,397.452.018-04,diegomacedo@example.org,+55 (081) 0104-8323,"Distrito Moreira, 45, Alto Vera Cruz, 26181-312 Melo / MS",2001-09-29,Motofrete,4995.0,Solteiro(a)
24,Maria Laura Alves,046.312.895-89,benjamimda-paz@example.net,+55 (031) 1143-8046,"Campo Mendes, 85, Havaí, 74533266 Vieira / MG",2004-03-25,Biotecnólogo,12507.0,Divorciado(a)
25,Brayan Silveira,534.021.976-34,abreunicolas@example.org,+55 21 3752-4190,"Rodovia Azevedo, 6, Eymard, 98874332 Silva do Amparo / RR",1999-03-18,Camelô,8478.0,Solteiro(a)
26,Isaac Gonçalves,124.865.390-42,erick04@example.com,71 7976 5278,"Rodovia de Albuquerque, 920, Vila Copacabana, 40908346 Machado / RS",1970-12-30,Torreiro/Torrista,10012.5,Viúvo(a)
27,Natália Abreu,431.975.806-48,nnunes@example.org,(071) 2580-5408,"Lagoa Davi Lucca Pinto, 573, Alpes, 53284591 Pires de Goiás / PI",1987-12-31,Turismólogo,12220.5,Divorciado(a)
28,Heitor Aparecida,126.470.859-94,qsousa@example.org,(041) 3303-4513,"Loteamento de Melo, 34, São Francisco, 48890309 Carvalho de Fonseca / RO",1965-08-10,Agrônomo,12166.5,Solteiro(a)
29,Sr. Ravi Lucca Ramos,675.129.483-28,kcavalcante@example.net,+55 (061) 8279-9150,"Praia de Aparecida, 79, Santa Maria, 11198-670 Mendonça de Caldeira / PR",1978-02-26,Nutrologista,7222.5,Solteiro(a)
30,Maria Clara Novais,769.041.382-03,tcardoso@example.net,0900-838-1175,"Recanto Leonardo Lopes, 79, Marajó, 78426474 Borges / PB",1958-11-03,Tecnólogo em tecnologia da madeira,6607.5,Solteiro(a)
31,Mariana Gonçalves,930.275.814-14,xsales@example.org,(011) 4926-8333,"Pátio de Nascimento, 4, Comiteco, 50924264 Monteiro de Goiás / AL",1950-06-28,Jornalista,5814.0,Divorciado(a)
32,Kamilly Garcia,943.706.812-78,gdias@example.org,+55 51 2953 2459,"Lagoa de Brito, 526, Belvedere, 43884590 da Luz da Prata / RS",1952-05-02,Fisiculturista,67.5,Divorciado(a)
33,Calebe Almeida,962.751.348-28,teixeirajosue@example.com,+55 (041) 6960 5573,"Feira Jesus, 5, Monsenhor Messias, 23475261 Azevedo / TO",1970-03-08,Cambista,1846.5,Casado(a)
34,Lavínia Novaes,486.390.517-39,leticia10@example.net,+55 (061) 6036 1621,"Aeroporto Sampaio, 2, Vila Copacabana, 71571-505 Novais de da Luz / MA",1963-01-23,Coreógrafo,4659.0,Viúvo(a)
35,Maria Luiza Mendes,745.931.806-00,fsouza@example.net,+55 11 2231 2536,"Sítio Mendes, 619, São Jorge 3ª Seção, 84923-057 Lopes / PE",1947-01-29,Agente comunitário de saúde,5587.5,Casado(a)
36,Nathan Carvalho,617.509.823-40,goncalvesbruno@example.com,(081) 6477-9503,"Trecho de Pimenta, 767, Vila Ouro Minas, 98494665 Peixoto / AL",1950-10-16,Engenheiro mecatrônico,3922.5,Solteiro(a)
37,Srta. Letícia Lopes,872.569.103-12,monteiroisaque@example.net,+55 (084) 5945 5244,"Campo Thiago Dias, 51, São João, 05641149 Pires do Sul / SE",1947-07-24,Retificador,8125.5,Divorciado(a)
38,Felipe Dias,061.847.259-20,eduardo23@example.net,41 9198 5939,"Quadra José Guerra, 4, João Alfredo, 53623-830 Cardoso de da Rocha / PR",1982-08-24,Cabo,11778.0,Solteiro(a)
